baslik,konum,fiyat,ilan_tarihi,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer,model_tam
Zerde Garage 2017 BMW 5.20i Executive M Sport 77.000 Km,"Peksimet Mh. Bodrum, Muğla",2.950.000 TL,16 Ağustos 2025,BMW,5 Serisi,520i Executive M Sport,2017,77.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,5 Serisi 520i Executive M Sport
2019 CLİO JOY DİZEL TEMİZ KOMPLE BAKIMLI,"Tuzla Mh. Fethiye, Muğla",830.000 TL,16 Ağustos 2025,Renault,Clio,1.5 dCi Joy,2019,178.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,3 boyalı,Takasa Uygun Değil,Galeriden,,Clio 1.5 dCi Joy
FİAT YÖN'DEN COROLLA 1.4 D-4D ADVANCE 93'BİNDE ORİJİNAL,"Meşelik Mh. Milas, Muğla",1.184.900 TL,16 Ağustos 2025,Toyota,Corolla,1.4 D-4D Advance,2015,93.000 km,Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Tamamı orjinal,Takasa Uygun,Yetkili Bayiden,,Corolla 1.4 D-4D Advance
OSCAR OTOMOTİV 2022 MERCEDES E200 D EXCLUSİVE K. VAKUM ORJİNAL,"Çiftlik Mh. Fethiye, Muğla",4.920.000 TL,16 Ağustos 2025,Mercedes-Benz,E,200 d Exclusive,2022,24.500 km,Otomatik,Dizel,Sedan,Siyah,1597 cc,160 hp,Arkadan İtiş,İkinci El,"4,7 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,E 200 d Exclusive
"Opel astra CD 1.6 16 valf ,192 bin kmde bakımlı araç","Yalıkavak Mh. Bodrum, Muğla",378.000 TL,16 Ağustos 2025,Opel,Astra,1.6 CD,1998,192.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,100 hp,Önden Çekiş,İkinci El,"7,4 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,Astra 1.6 CD
AYBARS OTO DAN 2002 1.6 16 VALF,"Zeytinalanı Mh. Köyceğiz, Muğla",355.000 TL,16 Ağustos 2025,Renault,Megane,1.6 RTE,2002,315.000 km,Düz,Benzin,Sedan,Yeşil,1598 cc,107 hp,Önden Çekiş,İkinci El,7 lt,60 lt,1 boyalı,Takasa Uygun,Galeriden,,Megane 1.6 RTE
FAST MOTORS PORSCHE PANEMERA BAYİ ÇIKIŞLI FACELİFT,"Taşyaka Mh. Fethiye, Muğla",3.625.000 TL,16 Ağustos 2025,Porsche,Panamera,Diesel,2012,220.000 km,Otomatik,Dizel,Hatchback/5,Siyah,2967 cc,300 hp,Arkadan İtiş,İkinci El,"6,4 lt",80 lt,2 boyalı,Takasa Uygun,Galeriden,,Panamera Diesel
2006 FİAT PALİO 1.3 MULTİJET K.K TEK ÇEKİM MEVCUTTUR,"Karamehmet Mh. Menteşe, Muğla",325.000 TL,16 Ağustos 2025,Fiat,Palio,1.3 Multijet Active,2006,388.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,70 hp,Önden Çekiş,İkinci El,"4,6 lt",51 lt,5 boyalı,Takasa Uygun,Galeriden,,Palio 1.3 Multijet Active
OSCAR OTOMOTİV YENI A6 40 TDI/NAV/ISITMA/E.BGJ/VAKUM/G.GORUS/BEJ,"Çiftlik Mh. Fethiye, Muğla",5.955.000 TL,16 Ağustos 2025,Audi,A6,A6 Sedan 40 TDI Quattro Advanced,2025,14.750 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,A6 A6 Sedan 40 TDI Quattro Advanced
PEUGEUT 206 X-LİNE TAM OTOMATİK 1.4,"Karamehmet Mh. Menteşe, Muğla",320.000 TL,16 Ağustos 2025,Peugeot,206,1.4 X-Line,2003,263.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,1 değişen,Takasa Uygun,Galeriden,,206 1.4 X-Line
Turmak'tan LADA VEGA 1.6 STATION WAGON BENZİN+LPG Sıfır Vize,"Atatürk Mh. Yatağan, Muğla",220.000 TL,16 Ağustos 2025,Lada,Vega,1.6,2006,306.000 km,Düz,Benzin,Station wagon,Gri,1596 cc,90 hp,Önden Çekiş,İkinci El,"6,8 lt",43 lt,"1 değişen, 10 boyalı",Takasa Uygun,Yetkili Bayiden,,Vega 1.6
2019 SKODA OCTAVİA DİZEL OTOMATİK HASARSIZ DEGİŞENSİZ,"Tuzla Mh. Fethiye, Muğla",1.300.000 TL,16 Ağustos 2025,Skoda,Octavia,1.6 TDI Style,2019,246.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,,Octavia 1.6 TDI Style
Helvacıoğlu Ford'dan Satılık %20 Faturalı,"Dörttepe Mh. Milas, Muğla",1.438.000 TL,16 Ağustos 2025,Ford,Focus,1.5 Ti-VCT Titanium,2023,63.600 km,Otomatik,Benzin,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun Değil,Yetkili Bayiden,,Focus 1.5 Ti-VCT Titanium
2015 CİTROEN ELYSEE BENZİNLİ KOMPLE BAKIMLI,"Tuzla Mh. Fethiye, Muğla",590.000 TL,16 Ağustos 2025,Citroen,C-Elysee,1.2 VTi Attraction,2015,245.000 km,Düz,Benzin,Sedan,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,4 değişen,Takasa Uygun,Galeriden,,C-Elysee 1.2 VTi Attraction
2004 MODEL KLİMALI DEĞİŞENSİZ YENİ MUAYENELİ TEMİZ DACİA SOLENZA,"Zeytinalanı Mh. Köyceğiz, Muğla",215.000 TL,16 Ağustos 2025,Dacia,Solenza,1.4 Rapsodie,2004,198.000 km,Düz,Benzin,Sedan,Gri,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,Tamamı boyalı,Takasa Uygun,Galeriden,,Solenza 1.4 Rapsodie
DEĞİŞENSİZ.TAM OTOMATİK VİTES.1.6 SUNROOFLU AUDI A3 TRAMERSİZ,"Zeytinalanı Mh. Köyceğiz, Muğla",395.000 TL,16 Ağustos 2025,Audi,A3,A3 Hatchback 1.6 Ambiente,2000,247.000 km,Otomatik,Benzin,Hatchback/3,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,A3 A3 Hatchback 1.6 Ambiente
Sahibinden 2014 trafik çıkışlı tertemiz,"Çamlı Mh. Marmaris, Muğla",715.000 TL,16 Ağustos 2025,Renault,Megane,1.6 dCi GT-Line Energy Sport Tourer,2012,203.700 km,Düz,Dizel,Station wagon,Mavi,1598 cc,130 hp,Önden Çekiş,İkinci El,4 lt,60 lt,"2 değişen, 1 boyalı",Takasa Uygun,Sahibinden,,Megane 1.6 dCi GT-Line Energy Sport Tourer
Sahibinden Opel Astra 1.6 Enjoy Elegance 2009 Model,"Ahmet Çavuş Hayıtlı Mh. Milas, Muğla",535.000 TL,15 Ağustos 2025,Opel,Astra,1.6 Enjoy Elegance,2009,189.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (metalik),1598 cc,115 hp,Önden Çekiş,İkinci El,"6,3 lt",56 lt,Tamamı orjinal,,Sahibinden,,Astra 1.6 Enjoy Elegance
Sahibinden Peugeot 307 1.6 HDi Comfort 2006 Model,"Gerişburnu Mh. Seydikemer, Muğla",300.000 TL,15 Ağustos 2025,Peugeot,307,1.6 HDi Comfort,2006,292.000 km,Düz,Dizel,Hatchback/5,Gri,1560 cc,112 hp,Önden Çekiş,İkinci El,"4,9 lt",60 lt,Belirtilmemiş,,Sahibinden,,307 1.6 HDi Comfort
Sahibinden Renault Symbol 1.5 dCi Joy  arabam hatssiz boyasız km orijinal ciddi alıcılar ileştişime geçsin lutfen 2018 Model,"Kavakarası Mh. Köyceğiz, Muğla",800.000 TL,15 Ağustos 2025,Renault,Symbol,1.5 dCi Joy,2018,168.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Belirtilmemiş,,Sahibinden,,Symbol 1.5 dCi Joy
Sahibinden Ford C-Max 1.6 Trend 2013 Mode çok temiz.l,"Merkez Mh. Dalaman, Muğla",750.000 TL,15 Ağustos 2025,Ford,C-Max,1.6 Trend,2013,202.000 km,Düz,LPG & Benzin,MPV,Beyaz,1596 cc,125 hp,Önden Çekiş,İkinci El,"6,6 lt",55 lt,"1 değişen, 1 boyalı",,Sahibinden,,C-Max 1.6 Trend
Sahibinden Citroen C5 1.6 e-HDi Confort 2012 Model,"Karaçalı Mh. Dalaman, Muğla",785.000 TL,15 Ağustos 2025,Citroen,C5,1.6 e-HDi Confort,2012,163.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1560 cc,117 hp,Önden Çekiş,İkinci El,"4,5 lt",71 lt,Tamamı orjinal,,Sahibinden,,C5 1.6 e-HDi Confort
Sahibinden Renault Clio 1.5 BlueDCI Joy 2020 Model,"Yeni Mh. Fethiye, Muğla",880.000 TL,15 Ağustos 2025,Renault,Clio,1.5 BlueDCI Joy,2020,116.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,85 hp,Önden Çekiş,İkinci El,"3,6 lt",39 lt,Tamamı orjinal,,Sahibinden,,Clio 1.5 BlueDCI Joy
Sahibinden Renault Megane 1.5 dCi Icon 2017 Model,"İçmeler Mh. Marmaris, Muğla",1.475.000 TL,15 Ağustos 2025,Renault,Megane,1.5 dCi Icon,2017,101.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,9 lt",49 lt,Belirtilmemiş,,Sahibinden,,Megane 1.5 dCi Icon
Sahibinden Tofaş Doğan SLX ie 1997 Model  temiz kullanılmıştır,"Atatürk Mh. Ortaca, Muğla",285.000 TL,15 Ağustos 2025,Tofas,Doğan,SLX ie,1997,160.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1581 cc,96 hp,Arkadan İtiş,İkinci El,"6,6 lt",45 lt,Belirtilmemiş,-,Sahibinden,,Doğan SLX ie
Sahibinden Tofaş Şahin 5 Vites 1998 Model,"Mumcular Mh. Bodrum, Muğla",252.500 TL,15 Ağustos 2025,Tofas,Şahin,Şahin 5 Vites,1998,545.685 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,80 hp,Arkadan İtiş,İkinci El,,52 lt,Belirtilmemiş,,Sahibinden,,Şahin Şahin 5 Vites
Sahibinden Mercedes - Benz C 200 D Comfort 2020 Model,"Pazaryeri Mh. Fethiye, Muğla",2.310.000 TL,15 Ağustos 2025,Mercedes-Benz,C,C 200 D Comfort,2020,94.000 km,Otomatik,Dizel,Sedan,Beyaz,,,,İkinci El,,,Tamamı orjinal,,Sahibinden,,C C 200 D Comfort
Sahibinden Tofaş Doğan L 1990 Model,"Kötekli Mh. Menteşe, Muğla",170.000 TL,15 Ağustos 2025,Tofas,Doğan,L,1990,650.000 km,Düz,LPG & Benzin,Sedan,Diğer,1581 cc,83 hp,Arkadan İtiş,İkinci El,"6,5 lt",50 lt,Tamamı boyalı,,Sahibinden,,Doğan L
Çimen'den orijinal Dizel Linea pop,"Atatürk Mh. Yatağan, Muğla",549.000 TL,15 Ağustos 2025,Fiat,Linea,1.3 Multijet Pop,2016,240.884 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,5 boyalı,Takasa Uygun,Galeriden,,Linea 1.3 Multijet Pop
Sahibinden Renault Symbol 1.2 Joy 2015 Model Muğla,"Okçular Mh. Ortaca, Muğla",520.000 TL,15 Ağustos 2025,Renault,Symbol,1.2 Joy,2015,178.000 km,Düz,Benzin,Sedan,Beyaz,1149 cc,75 hp,Önden Çekiş,İkinci El,6 lt,50 lt,Belirtilmemiş,,Sahibinden,,Symbol 1.2 Joy
Sahibinden Volkswagen Golf 1.6 TDi BlueMotion Midline Plus 2016 Model,"Karaburun Mh. Ortaca, Muğla",775.000 TL,15 Ağustos 2025,Volkswagen,Golf,1.6 TDi BlueMotion Midline Plus,2016,234.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,"2 değişen, 6 boyalı",,Sahibinden,,Golf 1.6 TDi BlueMotion Midline Plus
Sahibinden Renault R 19 1.4 Europa RNA 1998 Model,"Çamköy Mh. Fethiye, Muğla",160.000 TL,15 Ağustos 2025,Renault,R 19,1.4 Europa RNA,1998,298.000 km,Düz,LPG & Benzin,Sedan,Gri,1397 cc,75 hp,Önden Çekiş,İkinci El,,,Belirtilmemiş,,Sahibinden,,R 19 1.4 Europa RNA
Sahibinden Opel Astra 1.6 Enjoy 2004 Model,"Orhaniye Mh. Menteşe, Muğla",382.500 TL,15 Ağustos 2025,Opel,Astra,1.6 Enjoy,2004,287.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1598 cc,105 hp,Önden Çekiş,İkinci El,"6,6 lt",52 lt,2 değişen,,Sahibinden,,Astra 1.6 Enjoy
Sahibinden Ford Focus 1.6 Titanium 2008 Model,"Gökova Mh. Ula, Muğla",520.000 TL,15 Ağustos 2025,Ford,Focus,1.6 Titanium,2008,203.000 km,Düz,Benzin,Hatchback/5,Siyah,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,7 lt",55 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,,Focus 1.6 Titanium
EKSTRALI HONDA CİVİC 2019 ÇIKIŞLI,"Alaçat Mh. Seydikemer, Muğla",1.300.000 TL,15 Ağustos 2025,Honda,Civic,1.6 i-DTEC Elegance,2018,125.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1597 cc,120 hp,Önden Çekiş,İkinci El,"4,1 lt",46 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,,Civic 1.6 i-DTEC Elegance
Sahibinden Fiat Linea 1.3 Multijet Dynamic 2009 Model,"Çamköy Mh. Fethiye, Muğla",375.000 TL,15 Ağustos 2025,Fiat,Linea,1.3 Multijet Dynamic,2009,442.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,Belirtilmemiş,,Sahibinden,,Linea 1.3 Multijet Dynamic
CAN MOTORS'DAN 2257 KM'DE İLK SAHİBİNDEN HATASIZ KUSURSUZ,"Orhaniye Mh. Menteşe, Muğla",780.000 TL,15 Ağustos 2025,Toyota,Yaris,1.0 Life,2013,6.001 km,Düz,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Yaris 1.0 Life
Sahibinden Renault Fluence 1.5 dCi Joy 2014 Model Muğla,"Merkez Fethiye, Muğla",655.000 TL,15 Ağustos 2025,Renault,Fluence,1.5 dCi Joy,2014,221.464 km,Yarı Otomatik,Dizel,Sedan,Gri,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,,Fluence 1.5 dCi Joy
Seat ibiza değişensiz temiz düşük km,"Akarca Mh. Fethiye, Muğla",489.000 TL,15 Ağustos 2025,Seat,Ibiza,1.4 Signo,2004,199.300 km,Otomatik,Benzin,Hatchback/5,Beyaz,1390 cc,75 hp,Önden Çekiş,İkinci El,"7,4 lt",45 lt,6 boyalı,Takasa Uygun Değil,Sahibinden,,Ibiza 1.4 Signo
PARÇA BOYALI HAZIR DÜZEN FR,"Merkez Mh. Dalaman, Muğla",1.280.000 TL,15 Ağustos 2025,Seat,Leon,1.4 EcoTSI FR,2016,170.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,,Leon 1.4 EcoTSI FR
BAKIRCILAR'DAN PEUGEOT 308 1.6 e-HDI ALLURE K.K. 12 TAKSİT,"Karagedik Mh. Fethiye, Muğla",834.900 TL,15 Ağustos 2025,Peugeot,308,1.6 e-HDi Allure,2014,151.000 km,Düz,Dizel,Hatchback/5,Beyaz,1560 cc,117 hp,Önden Çekiş,İkinci El,"3,8 lt",53 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,308 1.6 e-HDi Allure
BARUT OTOMOTIV'DEN 2025 HATASIZ 8000 KM CORSA GS,"Doğan Mh. Menteşe, Muğla",1.450.000 TL,15 Ağustos 2025,Opel,Corsa,1.2 T GS,2025,8.000 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Corsa 1.2 T GS
"459,000? Peşinat ile 2023 C4 X 1.2 Puretech Shine Bold EAT8","Atatürk Mh. Yatağan, Muğla",1.559.000 TL,15 Ağustos 2025,Citroen,C4 X,1.2 PureTech Shine Bold,2023,30.600 km,Otomatik,Benzin,Sedan,Gri,1200 cm3' e kadar,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Yetkili Bayiden,,C4 X 1.2 PureTech Shine Bold
2008 Fiesta collection lpgli hatasız.(185.000kmde),"Salihpaşalar Mh. Menteşe, Muğla",498.000 TL,15 Ağustos 2025,Ford,Fiesta,1.4 Collection,2008,185.000 km,Düz,Benzin,Hatchback/5,Gri,1388 cc,80 hp,Önden Çekiş,İkinci El,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Fiesta 1.4 Collection
AKYOL OTOMOTİV'DEN HATASOZ BOYASIZ EGEA 1.3 MULTİJET EASY,"Aydınlıkevler Mh. Milas, Muğla",925.000 TL,15 Ağustos 2025,Fiat,Egea,1.3 Multijet Easy,2023,85.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Egea 1.3 Multijet Easy
SAFKAN BENZİN / 16 VALF / KLİMALI,"Aydınlıkevler Mh. Milas, Muğla",300.000 TL,15 Ağustos 2025,Fiat,Palio,1.2 EL,2003,225.000 km,Düz,Benzin,Hatchback/5,Gri,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,7 boyalı,Takasa Uygun,Galeriden,,Palio 1.2 EL
İÇ DIŞ S LİNE HATASIZ BOYASIZ DEĞİŞENSİZ,"Karaburun Mh. Ortaca, Muğla",4.050.000 TL,15 Ağustos 2025,Audi,A5,A5 Sportback 45 TFSI Quattro S Line,2023,53.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1801 - 2000 cm3,251 - 275 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,A5 A5 Sportback 45 TFSI Quattro S Line
BAYİ ÇIKIŞLI 2018 DOĞUŞ OTO BAKIMLI AUDİ A8 50TDİ QUATTRO LONG,"Menteşeoğlu Mh. Fethiye, Muğla",5.800.000 TL,15 Ağustos 2025,Audi,A8,50 TDI Quattro Long,2018,348.500 km,Otomatik,Dizel,Sedan,Siyah,2967 cc,286 hp,4WD (Sürekli),İkinci El,"5,8 lt",72 lt,4 boyalı,Takasa Uygun,Galeriden,25994.0,A8 50 TDI Quattro Long
BULUT OTOMOTİV'DEN 2000 MODEL 415.000KM BMW 3.20D STANDART PAKET,"Müskebi Mh. Bodrum, Muğla",435.800 TL,15 Ağustos 2025,BMW,3 Serisi,320d Standart,2000,418.000 km,Düz,Dizel,Sedan,Gri,1951 cc,136 hp,Arkadan İtiş,İkinci El,"5,7 lt",63 lt,"1 değişen, 8 boyalı",Takasa Uygun,Galeriden,,3 Serisi 320d Standart
Eylul Otomotivden Cooper 1.5 D Chili Otomatik,"Konacık Mh. Bodrum, Muğla",1.150.000 TL,15 Ağustos 2025,Mini,Cooper,1.5 D Chili,2016,120.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1496 cc,116 hp,Önden Çekiş,İkinci El,"3,8 lt",44 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Cooper 1.5 D Chili
SEBA OTOMOTİV2015 HYUNDAİ ACCENTBLUE 1.6CRDI BİZ OTOMATİK DİZEL,"Müskebi Mh. Bodrum, Muğla",538.000 TL,15 Ağustos 2025,Hyundai,Accent Blue,1.6 CRDI Biz,2015,265.000 km,Otomatik,Dizel,Sedan,Gri,1582 cc,136 hp,Önden Çekiş,İkinci El,"5,6 lt",43 lt,"4 değişen, 6 boyalı",Takasa Uygun,Galeriden,,Accent Blue 1.6 CRDI Biz
BARUT OTOMOTİV'DEN HATASIZZ C 200 D AMG,"Doğan Mh. Menteşe, Muğla",1.950.000 TL,15 Ağustos 2025,Mercedes-Benz,C,C 200 D AMG,2016,144.000 km,Otomatik,Dizel,Sedan,Gri,1598 cc,136 hp,Arkadan İtiş,İkinci El,"4,2 lt",41 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,C C 200 D AMG
VİSTA CARS'DAN HYUNDAİ ACCENT,"Emirbeyazıt Mh. Menteşe, Muğla",355.000 TL,15 Ağustos 2025,Hyundai,Accent,1.3 LX,2000,160.000 km,Düz,Benzin,Sedan,Mavi,1341 cc,86 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Accent 1.3 LX
BULUT OTOMOTİV'DEN 2011 209.000KM MERCEDES-BENZ C180 AVANTGARDE,"Ortakentyahşi Mh. Bodrum, Muğla",1.050.000 TL,15 Ağustos 2025,Mercedes-Benz,C,C 180 Avantgarde,2011,209.000 km,Otomatik,Benzin,Sedan,Gri,1796 cc,156 hp,Arkadan İtiş,İkinci El,"6,7 lt",67 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,,C C 180 Avantgarde
Toyota Corolla 1.5 Vision Plus 2025 Model Muğla,"Hatipirimi Mh. Marmaris, Muğla",1.539.000 TL,15 Ağustos 2025,Toyota,Corolla,1.5 Vision Plus,2025,9.000 km,Otomatik,Benzin,Sedan,Mavi,1490 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,Corolla 1.5 Vision Plus
Galeriden Citroen C5 1.6 HDi Executive 2012 Model Muğla,"Cumhuriyet Mh. Milas, Muğla",520.000 TL,15 Ağustos 2025,Citroen,C5,1.6 HDi Dynamique,2011,280.000 km,Düz,Dizel,Sedan,Füme,1560 cc,114 hp,Önden Çekiş,İkinci El,5 lt,71 lt,3 boyalı,Takasa Uygun,Galeriden,,C5 1.6 HDi Dynamique
COŞKUN OTOMOTİV den değişensiz masrafsız albea 1.2 16v EL,"Cumhuriyet Mh. Yatağan, Muğla",360.000 TL,15 Ağustos 2025,Fiat,Albea,1.2 EL,2004,252.000 km,Düz,LPG & Benzin,Sedan,Gri,1242 cc,80 hp,Önden Çekiş,İkinci El,7 lt,47 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Albea 1.2 EL
2010 MODEL OPEL CORSA 1.2 ESSENTİA HATASIZ,"Çaylı Mh. Ortaca, Muğla",435.000 TL,15 Ağustos 2025,Opel,Corsa,1.2 Twinport Essentia,2010,237.000 km,Düz,Benzin,Hatchback/5,Mavi,1229 cc,80 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,2500.0,Corsa 1.2 Twinport Essentia
1.4 EL KLİMALI LPGLİ LASTİK SIFIR VİZE SIFIR FİAT SİENA,"Aydınlıkevler Mh. Milas, Muğla",238.750 TL,15 Ağustos 2025,Fiat,Siena,1.4 EL,2000,290.000 km,Düz,Benzin,Sedan,Beyaz,1372 cc,71 hp,Önden Çekiş,İkinci El,,51 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Siena 1.4 EL
2009 HYUNDAİ ACCENT+BOYASIZ+DEĞİŞENSİZ+OTOMATİK+FULL.SERVİS.BKML,"Eskiçeşme Mh. Bodrum, Muğla",579.000 TL,15 Ağustos 2025,Hyundai,Accent Era,1.4 Expo Gold,2009,210.000 km,Otomatik,Benzin,Sedan,Siyah,1399 cc,97 hp,Önden Çekiş,İkinci El,"6,5 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Accent Era 1.4 Expo Gold
MARİS CARS DAN MASRAFSIZ DİZEL MANUEL SYMBOL,"Armutalan Mh. Marmaris, Muğla",395.900 TL,15 Ağustos 2025,Renault,Symbol,1.5 dCi Joy,2014,232.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,5 boyalı,Takasa Uygun,Galeriden,,Symbol 1.5 dCi Joy
BAŞKARA OTOMOTİV'DEN 2013 VOLKSWAGEN POLO,"Cumhuriyet Mh. Seydikemer, Muğla",525.000 TL,15 Ağustos 2025,Volkswagen,Polo,1.2 TDi Trendline,2013,280.000 km,Düz,Dizel,Hatchback/5,Beyaz,1199 cc,75 hp,Önden Çekiş,İkinci El,"3,8 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Polo 1.2 TDi Trendline
"YÖRÜK OTO""dan 98 HATASIZ - FULL BAKIMLI - UZUN TOROS","Gökpınar Mh. Yatağan, Muğla",295.000 TL,15 Ağustos 2025,Renault,R 12,Toros,1998,165.000 km,Düz,Benzin,Station wagon,Gri,1397 cc,72 hp,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,R 12 Toros
Devrim otomotivden 1992 model LPG li LADA SAMARA 1.5,"Karamehmet Mh. Menteşe, Muğla",95.000 TL,15 Ağustos 2025,Lada,Samara,1.5,1992,178.500 km,Düz,LPG & Benzin,Hatchback/3,Füme,1500 cc,75 hp,Önden Çekiş,İkinci El,,45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,Samara 1.5
HATASIZ BOYASIZ FİAT EGEA STREET '102.000 KM',"Bahçelievler Mh. Ortaca, Muğla",720.000 TL,15 Ağustos 2025,Fiat,Egea,1.4 Fire Street,2021,102.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Egea 1.4 Fire Street
Eylul Otomotivden CC 1.4 TSI BMT Sportline DSG,"Konacık Mh. Bodrum, Muğla",1.115.000 TL,15 Ağustos 2025,Volkswagen,VW CC,1.4 TSi,2013,158.000 km,Otomatik,Benzin,Coupe,Beyaz,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun Değil,Galeriden,6000.0,VW CC 1.4 TSi
